id,name,location_text,notes,created_at,timezone,venue_kind,access_type,abbreviation,city,postal_code,country,website_url,contact_name,contact_phone,contact_email,venue_phone,venue_email,province,latitude,longitude,indoor_outdoor,facility_type,booking_required,cost_type
85a1c6a5-7dfc-4914-996a-abcfee07efe3,Aldershot Tennis Club,1061 Gallagher Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Burlington,,Canada,https://aldershottennis.ca,,,,,,ON,,,outdoor,full_facility,t,paid
d38e4539-98f5-4e8e-86ac-a18043a70963,Appleby Tennis Club,4348 Longmoor Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Burlington,,Canada,https://applebytennisclub.ca,,,,,,ON,,,outdoor,full_facility,t,paid
c6e8b500-abe7-4b5b-aeca-738d66291faf,Blue Zone Courts,5041 Fairview St,,2026-05-06 02:14:28.234199+00,America/Toronto,private_facility,private,,Burlington,,Canada,https://bluezonecourts.com,,,,,,ON,,,indoor,full_facility,t,paid
9a83e106-2b41-4f47-a530-60dc48e7eba0,Bronte Meadows Park,165 Laurier Ave,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Milton,,Canada,https://milton.ca,,,,,,ON,,,outdoor,court_only,f,free
e7395eb7-5904-41d7-af48-1a6d90b500eb,Burlington Fitness & Racquet,1233 Dillon Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Burlington,,Canada,https://burlingtonfitness.ca,,,,,,ON,,,indoor,full_facility,t,paid
9a358037-b65f-4cb4-941e-d49c598e0f21,Burlington Pickleball,3185 Harvester Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,private_facility,private,,Burlington,,Canada,https://burlingtonpickleball.ca,,,,,,ON,,,indoor,full_facility,t,paid
04c1e02d-28c3-4769-a807-dab3cbdb1c32,Burlington Tennis Club,501 Drury Ln,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Burlington,,Canada,https://burlingtontennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
25dc64bb-6945-4bfc-adb6-45fcc024c4a1,Emmerson Park,52 Carruthers Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Georgetown,,Canada,https://haltonhills.ca,,,,,,ON,,,outdoor,court_only,f,free
4003c7e2-441d-42d4-b679-accf168ef4b1,Fowley Park,106 Fowley Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
2c6135a3-5dc8-4cce-b874-24b22f6b9449,George Savage Park,3200 George Savage Ave,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
8ce1defd-ee43-4865-8c88-849946ecb30f,Georgetown Racquet Club,215 Armstrong Ave,,2026-05-06 02:14:28.234199+00,America/Toronto,private_facility,private,,Georgetown,,Canada,https://georgetownracquetclub.ca,,,,,,ON,,,outdoor,full_facility,t,paid
66477f2a-fc9b-426d-af3e-fd5f6bf51279,Glenashton Park,1051 Glenashton Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,full_facility,f,free
76a5c157-39f8-48c4-b7e4-571444ae21d6,Halton Hills TC (Eighth Line),10241 8th Line,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Georgetown,,Canada,https://haltonhillstennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
f9333e5d-6266-4b8c-b352-1328cfaab7df,Holton Heights Park,1315 Holton Heights Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
